索引号,发布机构,发布日期,政策标题,政策详情url
索引号,发布机构,发布日期,政策标题,政策详情url
索引号,发布机构,发布日期,政策标题,政策详情url
006939748/2023-00281,广东省人民政府,2023-06-28 10:50:43,广东省人民政府关于禁止在澳门珠海水资源保障工程（水库及连通工程）占地及淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4208/post_4208058.html
006939748/2023-00280,广东省人民政府,2023-06-28 10:34:32,广东省人民政府关于禁止在广东电白抽水蓄能电站工程占地及淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4208/post_4208037.html
006939748/2023-00279,广东省人民政府,2023-06-28 09:48:09,广东省人民政府关于禁止在鉴江干流治理工程占地范围新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4207/post_4207956.html
006939748/2023-00278,广东省人民政府办公厅,2023-06-28 08:58:21,广东省人民政府办公厅关于2023年第二季度全省政府网站与政务新媒体检查情况的通报,http://www.gd.gov.cn/gkmlpt/content/4/4207/post_4207888.html
006939748/2023-00276,广东省人民政府,2023-06-26 09:02:40,广东省人民政府关于进一步深化数字政府改革建设的实施意见,http://www.gd.gov.cn/gkmlpt/content/4/4206/post_4206700.html
006939748/2023-00269,广东省人民政府,2023-06-20 14:45:48,广东省人民政府关于禁止在珠江三角洲水资源配置工程东莞市配套供水项目（大溪水怀德水库扩建工程）占地及淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4204/post_4204713.html
006939748/2023-00263,广东省人民政府办公厅,2023-06-15 13:13:20,广东省人民政府办公厅关于印发广东省交通基础设施建设工程事故应急预案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4199/post_4199084.html
006939748/2023-00256,广东省人民政府,2023-06-08 08:50:17,广东省人民政府关于公布第四批广东省历史文化街区名单的通知,http://www.gd.gov.cn/gkmlpt/content/4/4195/post_4195129.html
006939748/2023-00254,广东省人民政府,2023-06-07 09:59:48,广东省人民政府关于印发《广东省自然保护区建立和调整管理规定》的通知,http://www.gd.gov.cn/gkmlpt/content/4/4194/post_4194480.html
006939748/2023-00251,广东省人民政府,2023-06-06 08:52:50,广东省人民政府关于禁止在清远市英德市石门台水库工程占地及淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4192/post_4192641.html
006939748/2023-00238,广东省人民政府,2023-05-29 12:32:26,广东省人民政府关于复制推广中国（广东）自由贸易试验区第八批改革创新经验的通知,http://www.gd.gov.cn/gkmlpt/content/4/4188/post_4188411.html
006939748/2023-00232,广东省人民政府,2023-05-23 14:39:55,广东省事业单位公开招聘人员办法,http://www.gd.gov.cn/gkmlpt/content/4/4185/post_4185377.html
006939748/2023-00224,广东省人民政府办公厅,2023-05-22 13:05:41,广东省人民政府办公厅关于成立广东省扶贫志和全面小康志编纂委员会的通知,http://www.gd.gov.cn/gkmlpt/content/4/4184/post_4184530.html
006939748/2023-00216,广东省人民政府办公厅,2023-05-19 11:38:55,广东省人民政府办公厅印发关于加强科技伦理治理的实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4183/post_4183556.html
006939748/2023-00212,广东省人民政府,2023-05-18 16:05:02,广东省人民政府关于印发《广东省人民政府工作规则》的通知,http://www.gd.gov.cn/gkmlpt/content/4/4183/post_4183132.html
006939748/2023-00204,广东省人民政府,2023-05-15 11:40:47,广东省人民政府关于印发广东省省级财政专项资金管理办法（修订）的通知,http://www.gd.gov.cn/gkmlpt/content/4/4180/post_4180761.html
006939748/2023-00184,广东省人民政府办公厅,2023-05-01 07:48:37,广东省人民政府办公厅印发广东省关于香港机动车经港珠澳大桥珠海公路口岸入出内地管理办法的通知,http://www.gd.gov.cn/gkmlpt/content/4/4173/post_4173613.html
006939748/2023-00179,广东省人民政府办公厅,2023-04-27 11:41:16,广东省人民政府办公厅关于成立广东省第五次全国经济普查领导小组的通知,http://www.gd.gov.cn/gkmlpt/content/4/4172/post_4172181.html
006939748/2023-00174,广东省人民政府办公厅,2023-04-23 11:50:24,广东省人民政府办公厅关于印发广东省“节地提质”攻坚行动方案（2023—2025年）的通知,http://www.gd.gov.cn/gkmlpt/content/4/4168/post_4168853.html
006939748/2023-00170,广东省人民政府办公厅,2023-04-19 10:21:22,广东省人民政府办公厅关于同意重新指定医学鉴定医院的复函,http://www.gd.gov.cn/gkmlpt/content/4/4156/post_4156832.html
006939748/2023-00168,广东省人民政府办公厅,2023-04-19 09:49:32,广东省人民政府办公厅关于中国历史文化名镇珠海市斗门镇保护规划（2020—2035年）的复函,http://www.gd.gov.cn/gkmlpt/content/4/4156/post_4156766.html
006939748/2023-00163,广东省人民政府,2023-04-11 10:05:16,广东省人民政府关于禁止在大湾区堤防巩固提升工程重点项目占地范围新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4151/post_4151766.html
006939748/2023-00160,广东省人民政府,2023-04-07 10:34:47,广东省人民政府关于印发广东省人才优粤卡实施办法的通知,http://www.gd.gov.cn/gkmlpt/content/4/4149/post_4149803.html
006939748/2023-00152,广东省人民政府办公厅,2023-03-29 10:01:34,广东省人民政府办公厅关于2023年第一季度全省政府网站与政务新媒体检查情况的通报,http://www.gd.gov.cn/gkmlpt/content/4/4143/post_4143636.html
006939748/2023-00149,广东省人民政府,2023-03-28 09:41:22,广东省人民政府关于公布广东省重点保护野生植物名录的通知,http://www.gd.gov.cn/gkmlpt/content/4/4142/post_4142083.html
006939748/2023-00141,广东省人民政府办公厅,2023-03-22 12:01:10,广东省人民政府办公厅关于印发广东省地质灾害综合防治能力提升三年行动方案（2023—2025年）的通知,http://www.gd.gov.cn/gkmlpt/content/4/4138/post_4138234.html
006939748/2023-00134,广东省人民政府,2023-03-20 09:20:05,广东省人民政府关于将部分省级自然资源行政职权事项调整由广州市南沙区实施的决定,http://www.gd.gov.cn/gkmlpt/content/4/4136/post_4136437.html
006939748/2023-00131,广东省人民政府办公厅,2023-03-20 09:17:25,广东省人民政府办公厅关于印发广东省进一步加大力度支持民间投资发展实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4136/post_4136430.html
006939748/2023-00130,广东省人民政府办公厅,2023-03-20 09:13:54,广东省人民政府办公厅关于印发广东省推动新型储能产业高质量发展指导意见的通知,http://www.gd.gov.cn/gkmlpt/content/4/4136/post_4136417.html
006939748/2023-00129,广东省人民政府办公厅,2023-03-20 09:06:32,广东省人民政府办公厅关于印发广东省促进个体工商户发展实施办法的通知,http://www.gd.gov.cn/gkmlpt/content/4/4136/post_4136407.html
006939748/2023-00128,广东省人民政府办公厅,2023-03-20 09:00:58,广东省人民政府办公厅关于印发广东省推进招商引资高质量发展若干政策措施的通知,http://www.gd.gov.cn/gkmlpt/content/4/4136/post_4136393.html
006939748/2023-00133,广东省人民政府办公厅,2023-03-20 08:57:33,广东省人民政府办公厅关于印发广东省进一步强化市场主体诉求响应服务工作方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4136/post_4136388.html
006939748/2023-00112,广东省人民政府办公厅,2023-03-15 11:16:53,广东省人民政府办公厅关于印发广东省新污染物治理工作方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4133/post_4133140.html
006939748/2023-00109,广东省人民政府,2023-03-14 11:45:21,广东省人民政府关于印发广东省加快推进气象高质量发展实施意见的通知,http://www.gd.gov.cn/gkmlpt/content/4/4132/post_4132285.html
006939748/2023-00103,广东省人民政府办公厅,2023-03-14 11:36:37,广东省人民政府办公厅关于挂牌督办第十五批火灾隐患重点地区及重大火灾隐患单位的通知,http://www.gd.gov.cn/gkmlpt/content/4/4132/post_4132272.html
006939748/2023-00091,广东省人民政府,2023-03-03 11:06:49,广东省人民政府关于同意授予丁国安等80位同志广东省名中医称号的批复,http://www.gd.gov.cn/gkmlpt/content/4/4118/post_4118276.html
006939748/2023-00089,广东省人民政府,2023-03-02 08:15:55,广东省人民政府关于印发广东省激发企业活力推动高质量发展若干政策措施的通知,http://www.gd.gov.cn/gkmlpt/content/4/4115/post_4115943.html
006939748/2023-00088,广东省人民政府办公厅,2023-03-02 08:13:19,广东省人民政府办公厅关于印发2023年广东金融支持经济高质量发展行动方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4115/post_4115941.html
006939748/2023-00090,广东省人民政府办公厅,2023-03-02 08:09:15,广东省人民政府办公厅关于印发《建设高标准信用服务市场  促进信用广东高质量发展的若干措施》的通知,http://www.gd.gov.cn/gkmlpt/content/4/4115/post_4115939.html
006939748/2023-00083,广东省人民政府,2023-02-28 15:03:09,广东省人民政府关于将一批省级行政职权调整由横琴粤澳深度合作区执行委员会及其工作机构实施的决定,http://www.gd.gov.cn/gkmlpt/content/4/4105/post_4105541.html
006939748/2023-00076,广东省人民政府,2023-02-22 15:00:49,广东省人民政府关于印发2023年省《政府工作报告》工作任务分工方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4098/post_4098859.html
006939748/2023-00072,广东省人民政府,2023-02-21 11:04:27,广东省人民政府关于废止粤府函〔2018〕405号文件的公告,http://www.gd.gov.cn/gkmlpt/content/4/4098/post_4098126.html
006939748/2023-00067,广东省人民政府办公厅,2023-02-17 11:37:34,广东省人民政府办公厅转发国务院办公厅转发商务部科技部关于进一步鼓励外商投资设立研发中心若干措施的通知,http://www.gd.gov.cn/gkmlpt/content/4/4096/post_4096476.html
006939748/2023-00051,广东省人民政府,2023-02-10 11:25:18,广东省洗砂管理办法,http://www.gd.gov.cn/gkmlpt/content/4/4092/post_4092755.html
006939748/2023-00050,广东省人民政府,2023-02-07 10:36:09,广东省人民政府关于印发广东省碳达峰实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4091/post_4091117.html
006939748/2023-00049,广东省人民政府,2023-02-06 16:01:50,广东省人民政府关于省政府领导班子分工的通知,http://www.gd.gov.cn/gkmlpt/content/4/4090/post_4090716.html
006939748/2023-00039,广东省人民政府办公厅,2023-01-29 12:03:21,广东省人民政府办公厅关于印发广东省培育扶持个体工商户若干措施的通知,http://www.gd.gov.cn/gkmlpt/content/4/4086/post_4086737.html
006939748/2023-00032,广东省人民政府办公厅,2023-01-19 11:00:21,广东省人民政府办公厅关于印发《广东省计量发展规划（2022—2035年）》的通知,http://www.gd.gov.cn/gkmlpt/content/4/4084/post_4084162.html
006939748/2023-00030,广东省人民政府办公厅,2023-01-18 11:19:37,广东省人民政府办公厅关于印发广东省“十四五”文物保护和科技创新实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4083/post_4083472.html
006939748/2023-00029,广东省人民政府办公厅,2023-01-18 11:13:07,广东省人民政府办公厅关于成立广东省地质灾害防治工作领导小组的通知,http://www.gd.gov.cn/gkmlpt/content/4/4083/post_4083457.html
006939748/2023-00027,广东省人民政府办公厅,2023-01-17 11:30:22,广东省人民政府办公厅关于印发广东省“十四五”旅游业发展规划实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4082/post_4082729.html
006939748/2023-00025,广东省人民政府办公厅,2023-01-17 11:26:11,广东省人民政府办公厅关于印发广东省城市燃气管道等老化更新改造实施工作方案（2022—2025年）的通知,http://www.gd.gov.cn/gkmlpt/content/4/4082/post_4082725.html
006939748/2023-00014,广东省人民政府,2023-01-06 09:48:48,广东省人民政府关于印发广东省土地要素市场化配置改革行动方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4076/post_4076583.html
006939748/2023-00011,广东省人民政府办公厅,2023-01-05 11:37:34,广东省人民政府办公厅关于印发广东省全面加强新时代语言文字工作若干措施的通知,http://www.gd.gov.cn/gkmlpt/content/4/4075/post_4075882.html
006939748/2023-00009,广东省人民政府办公厅,2023-01-04 12:03:37,广东省人民政府办公厅转发国务院办公厅关于印发第十次全国深化“放管服”改革电视电话会议重点任务分工方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4075/post_4075100.html
006939748/2023-00007,广东省人民政府办公厅,2023-01-04 11:56:33,广东省人民政府办公厅转发国务院办公厅关于扩大政务服务“跨省通办”范围进一步提升服务效能意见的通知,http://www.gd.gov.cn/gkmlpt/content/4/4075/post_4075095.html
006939748/2023-00006,广东省人民政府,2023-01-03 09:53:34,广东省人民政府关于废止和修改部分省政府规章的决定,http://www.gd.gov.cn/gkmlpt/content/4/4074/post_4074141.html
006939748/2023-00004,广东省人民政府办公厅,2023-01-03 09:33:20,广东省人民政府办公厅转发国务院办公厅关于加快推进“一件事一次办”打造政务服务升级版指导意见的通知,http://www.gd.gov.cn/gkmlpt/content/4/4074/post_4074090.html
006939748/2022-00603,广东省人民政府,2022-12-30 11:29:38,广东省人民政府转发国务院关于开展第五次全国经济普查的通知,http://www.gd.gov.cn/gkmlpt/content/4/4073/post_4073264.html
006939748/2022-00602,广东省人民政府办公厅,2022-12-30 11:26:59,广东省人民政府办公厅关于健全重特大疾病医疗保险和救助制度的实施意见,http://www.gd.gov.cn/gkmlpt/content/4/4073/post_4073256.html
006939748/2022-00599,广东省人民政府,2022-12-30 11:23:48,广东省人民政府转发国务院关于同意在沈阳等6个城市开展服务业扩大开放综合试点批复的通知,http://www.gd.gov.cn/gkmlpt/content/4/4073/post_4073251.html
006939748/2022-00598,广东省人民政府办公厅,2022-12-30 08:59:36,广东省人民政府办公厅关于2022年第四季度全省政府网站与政务新媒体检查情况的通报,http://www.gd.gov.cn/gkmlpt/content/4/4073/post_4073091.html
006939748/2022-00590,广东省人民政府,2022-12-24 08:40:03,广东省人民政府关于政协第十三届全国委员会第五次会议第00897号（统战政协类034号）提案答复的函,http://www.gd.gov.cn/gkmlpt/content/4/4070/post_4070227.html
006939748/2022-00591,广东省人民政府,2022-12-24 08:36:41,广东省人民政府关于政协第十三届全国委员会第五次会议第00866号（社会管理类081号）提案答复的函,http://www.gd.gov.cn/gkmlpt/content/4/4070/post_4070226.html
006939748/2022-00588,广东省人民政府,2022-12-24 08:32:19,广东省人民政府关于政协第十三届全国委员会第五次会议第00443号（商贸监管类027号）提案答复的函,http://www.gd.gov.cn/gkmlpt/content/4/4070/post_4070225.html
006939748/2022-00587,广东省人民政府,2022-12-24 08:28:39,广东省人民政府关于十三届全国人大五次会议第8093号代表建议答复的函,http://www.gd.gov.cn/gkmlpt/content/4/4070/post_4070224.html
006939748/2022-00556,广东省人民政府办公厅,2022-12-20 08:23:00,广东省人民政府办公厅印发广东省关于澳门机动车经港珠澳大桥珠海公路口岸入出内地管理办法的通知,http://www.gd.gov.cn/gkmlpt/content/4/4068/post_4068282.html
006939748/2022-00551,广东省人民政府,2022-12-13 14:55:16,广东省人民政府关于印发广东省加快推进政务服务标准化规范化便利化工作实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4065/post_4065454.html
006939748/2022-00543,广东省人民政府办公厅,2022-12-08 11:14:28,广东省人民政府办公厅关于建立广东省农田水利建设工作联席会议制度的通知,http://www.gd.gov.cn/gkmlpt/content/4/4059/post_4059735.html
006939748/2022-00542,广东省人民政府办公厅,2022-12-08 11:05:43,广东省人民政府办公厅关于印发广东省农村公路扩投资稳就业更好服务乡村振兴攻坚方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4059/post_4059714.html
006939748/2022-00532,广东省人民政府办公厅,2022-12-05 10:07:53,广东省人民政府办公厅关于成立广东省农村人居环境整治提升领导小组的通知,http://www.gd.gov.cn/gkmlpt/content/4/4057/post_4057711.html
006939748/2022-00495,广东省人民政府办公厅,2022-11-14 10:59:16,广东省人民政府办公厅转发国务院办公厅关于复制推广营商环境创新试点改革举措的通知,http://www.gd.gov.cn/gkmlpt/content/4/4045/post_4045441.html
006939748/2022-00491,广东省人民政府办公厅,2022-11-10 10:40:46,广东省人民政府办公厅关于同意调整完善广东省粮食安全保障工作部门间联席会议制度的函,http://www.gd.gov.cn/gkmlpt/content/4/4043/post_4043680.html
006939748/2022-00492,广东省人民政府办公厅,2022-11-10 10:35:30,广东省人民政府办公厅关于成立国家自然资源督察广东协调领导小组的通知,http://www.gd.gov.cn/gkmlpt/content/4/4043/post_4043567.html
006939748/2022-00488,广东省人民政府办公厅,2022-11-03 12:17:27,广东省人民政府办公厅关于印发支持韶关建设国家老工业城市和资源型城市产业转型升级示范区若干意见的通知,http://www.gd.gov.cn/gkmlpt/content/4/4040/post_4040001.html
006939748/2022-00485,广东省人民政府办公厅,2022-11-02 12:10:16,广东省人民政府办公厅关于印发广东省促进残疾人就业三年行动方案（2022—2024年）的通知,http://www.gd.gov.cn/gkmlpt/content/4/4039/post_4039336.html
006939748/2022-00483,广东省人民政府办公厅,2022-11-01 10:52:11,广东省人民政府办公厅关于印发广东省建立健全生态产品价值实现机制实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4038/post_4038544.html
006939748/2022-00477,广东省人民政府,2022-10-28 14:57:05,广东省人民政府关于设立广州琶洲经济开发区的批复,http://www.gd.gov.cn/gkmlpt/content/4/4037/post_4037169.html
006939748/2022-00469,广东省人民政府,2022-10-25 10:06:16,广东省人民政府关于省政府领导班子分工的通知,http://www.gd.gov.cn/gkmlpt/content/4/4034/post_4034804.html
006939748/2022-00467,广东省人民政府,2022-10-24 10:38:16,广东省人民政府关于表彰第二十三届中国专利奖嘉奖和第九届广东专利奖获奖单位及个人的通报,http://www.gd.gov.cn/gkmlpt/content/4/4034/post_4034124.html
006939748/2022-00464,广东省人民政府办公厅,2022-10-24 10:36:17,广东省人民政府办公厅关于印发省直机关及有关单位对口支援重点老区苏区工作方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4034/post_4034114.html
006939748/2022-00463,广东省人民政府办公厅,2022-10-13 08:49:43,广东省人民政府办公厅转发国务院办公厅转发国家发展改革委关于在重点工程项目中大力实施以工代赈促进当地群众就业增收工作方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4027/post_4027848.html
006939748/2022-00460,广东省人民政府办公厅,2022-10-12 09:55:29,广东省人民政府办公厅关于成立广东省教育援疆专项工作领导小组的通知,http://www.gd.gov.cn/gkmlpt/content/4/4027/post_4027298.html
006939748/2022-00458,广东省人民政府,2022-10-11 10:09:57,广东省人民政府关于延续实施车辆车船税具体适用税额的通知,http://www.gd.gov.cn/gkmlpt/content/4/4026/post_4026710.html
006939748/2022-00457,广东省人民政府办公厅,2022-10-11 09:06:05,广东省人民政府办公厅关于2022年第三季度全省政府网站与政务新媒体检查情况的通报,http://www.gd.gov.cn/gkmlpt/content/4/4026/post_4026547.html
006939748/2022-00451,广东省人民政府办公厅,2022-09-30 12:00:41,广东省人民政府办公厅关于印发广东省推进冷链物流高质量发展“十四五”实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4022/post_4022955.html
006939748/2022-00446,广东省人民政府办公厅,2022-09-30 11:51:14,广东省人民政府办公厅关于延长从化太平等5个公路动物防疫监督检查站设站时间的复函,http://www.gd.gov.cn/gkmlpt/content/4/4022/post_4022948.html
006939748/2022-00440,广东省人民政府,2022-09-22 09:08:59,广东省人民政府关于公布广东省行政许可事项清单（2022年版）的通知,http://www.gd.gov.cn/gkmlpt/content/4/4016/post_4016742.html
006939748/2022-00438,广东省人民政府办公厅,2022-09-21 09:51:40,广东省人民政府办公厅关于公布第十三批火灾隐患重点地区及重大火灾隐患单位整治工作验收结果的通知,http://www.gd.gov.cn/gkmlpt/content/4/4016/post_4016030.html
006939748/2022-00437,广东省人民政府办公厅,2022-09-20 09:44:12,广东省人民政府办公厅关于建立广东省综合防控儿童青少年近视工作联席会议制度的通知,http://www.gd.gov.cn/gkmlpt/content/4/4015/post_4015328.html
006939748/2022-00434,广东省人民政府,2022-09-16 11:45:11,广东省人民政府关于调整实施一批省级自然资源行政职权事项的决定,http://www.gd.gov.cn/gkmlpt/content/4/4013/post_4013688.html
006939748/2022-00433,广东省人民政府,2022-09-16 11:39:38,广东省人民政府关于印发广东省“十四五”节能减排实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4013/post_4013685.html
006939748/2022-00422,广东省人民政府,2022-09-09 17:00:10,广东省高速公路运营管理办法,http://www.gd.gov.cn/gkmlpt/content/4/4010/post_4010733.html
006939748/2022-00420,广东省人民政府办公厅,2022-09-09 12:14:04,广东省人民政府办公厅关于印发广东省加快推进城镇环境基础设施建设实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4010/post_4010452.html
006939748/2022-00419,广东省人民政府办公厅,2022-09-08 15:33:04,广东省人民政府办公厅关于印发广东省促进老字号创新发展行动方案（2022—2025）的通知,http://www.gd.gov.cn/gkmlpt/content/4/4009/post_4009831.html
006939748/2022-00412,广东省人民政府办公厅,2022-09-05 08:38:46,广东省人民政府办公厅关于印发广东省进一步促进工业经济平稳增长若干措施的通知,http://www.gd.gov.cn/gkmlpt/content/4/4006/post_4006999.html
006939748/2022-00400,广东省人民政府,2022-09-01 11:54:48,广东省人民政府关于表彰第七届广东省政府质量奖获奖组织和个人的通报,http://www.gd.gov.cn/gkmlpt/content/4/4005/post_4005565.html
006939748/2022-00398,广东省人民政府办公厅,2022-08-31 19:29:25,广东省人民政府办公厅关于印发广东省加大力度持续促进消费若干措施的通知,http://www.gd.gov.cn/gkmlpt/content/4/4005/post_4005067.html
006939748/2022-00394,广东省人民政府办公厅,2022-08-26 09:24:43,广东省人民政府办公厅关于印发广东省推进多式联运发展优化调整运输结构实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4001/post_4001452.html
006939748/2022-00391,广东省人民政府办公厅,2022-08-25 10:36:15,广东省人民政府办公厅关于成立广东省集中打击整治危害药品安全违法犯罪工作领导小组的通知,http://www.gd.gov.cn/gkmlpt/content/4/4000/post_4000741.html
