申请日,专利名称,专利类型,专利状态,申请号,公开（公布）号,公开（公告）日,发明人,详情页url
2023-02-24,一种修复方法、装置及存储介质,发明专利,公开,CN202310196583.9,CN116342408A,2023-06-27,郝磊、吴小飞、张镇嵩、许松岑、张子霄、朱凯强,https://zhuanli.tianyancha.com/e0862464549a4e2bc2c389e249fd373f
2023-05-04,一种基于5G网络的信息安全鉴权方法及系统,发明专利,实质审查,CN202310490011.1,CN116193432A,2023-05-30,黄红兵、邵炜平、李昂、章毅、汤亿则、邱兰馨、钱锦、王玮、王俊伟、王法辉、刘秀龙、饶子仁、荣宁、樊兆宾、沈秋泉、胡少清、杜猛俊、王源涛、王剑、张吉、张烨华,https://zhuanli.tianyancha.com/a5506c8544c609898c9b1a759a4a7cdd
2023-03-30,无线充电模组、设备及系统,发明专利,公开,CN202310371964.6,CN116345730A,2023-06-27,章哲、夏凡、张彬、张寒锋、亿一德,https://zhuanli.tianyancha.com/92dc383e025cc88693e7807a3a6bb389
2023-03-23,一种数据处理方法及其装置,发明专利,公开,CN202310332363.4,CN116309074A,2023-06-23,黄旭东、李卫、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/2956a535d4e1560873c4166f6791cf88
2023-03-20,安全气囊的控制系统和控制方法、交通工具,发明专利,公开,CN202310304829.X,CN116279275A,2023-06-23,陈少东、于龙、汪晓虎,https://zhuanli.tianyancha.com/70a1950de603d0bf77828043b9a71eea
2023-03-16,一种散热结构及电子设备,发明专利,公开,CN202310280857.2,CN116321969A,2023-06-23,骆洋、陈丘、刘用鹿、靳林芳,https://zhuanli.tianyancha.com/453a861ad2541061efed5703cafd0ee9
2023-03-15,一种图像处理方法及其相关设备,发明专利,公开,CN202310277464.6,CN116309226A,2023-06-23,汪海铃、李卫、席瑗苑、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/7f22ec87e2c14b6ea244d50cce88275c
2023-03-07,一种基于动态优化的物联网边缘设备协同接入方法,发明专利,实质审查,CN202310207123.1,CN116074939A,2023-05-05,朱洪波、孙建平、金石、赵海涛、张晖、周锋、王皓天、文慧智,https://zhuanli.tianyancha.com/510c96eba507b944ce924541f781f7f2
2023-03-07,一种物联网边缘环境下通感一体化智能传输与调控方法,发明专利,授权,CN202310207125.0,CN116073928B,2023-06-20,朱洪波、金石、孙建平、赵海涛、张晖、丁中正、黄传娜,https://zhuanli.tianyancha.com/2f6352c6e2a36484a5c44962a870add0
2023-02-28,一种语音处理方法及其相关设备,发明专利,公开,CN202310228312.7,CN116259311A,2023-06-13,邓利群、敖君逸、葛檬、李海洲、杨宇庭、陈晓,https://zhuanli.tianyancha.com/d6350f2618d6e6eddb0fdfc60fbf51f5
2023-02-28,一种图像处理方法及相关装置,发明专利,公开,CN202310233422.2,CN116258651A,2023-06-13,黄毅、刘健庄,https://zhuanli.tianyancha.com/542f1ebdd7be18c4ba21d6880d6ff917
2023-02-28,一种模型训练方法及其相关设备,发明专利,公开,CN202310224144.4,CN116306771A,2023-06-23,李银川、邵云峰、郝建业,https://zhuanli.tianyancha.com/a07d99f4eb1b1d58478c66f22283fab4
2023-02-28,一种数据处理方法及其装置,发明专利,公开,CN202310227307.4,CN116306672A,2023-06-23,郭寅鹏、肖猛、王雅圣,https://zhuanli.tianyancha.com/4211c0ec0b839e7e3b6b5f67a560d610
2023-02-28,一种模型结构的确定方法及相关装置,发明专利,公开,CN202310228636.0,CN116306815A,2023-06-23,王亚岛、王雅圣、张震、刘知远,https://zhuanli.tianyancha.com/2c66304829e099d021c80d5d12b72a55
2023-02-28,一种车灯控制方法以及相关装置,发明专利,公开,CN202310217472.1,CN116279096A,2023-06-23,魏昊霖、王宗波,https://zhuanli.tianyancha.com/6aa72e28ab79c612eb22312290483330
2023-02-28,图像重建方法、装置和计算机存储介质,发明专利,公开,CN202310225867.6,CN116309056A,2023-06-23,胡海林、罗小同、陈汉亭、严彬维、颜蔷羽、王云鹤,https://zhuanli.tianyancha.com/97e0ec781d53c2a05c1377080e4c89f5
2023-02-28,共享文件的方法、电子设备及计算机可读存储介质,发明专利,公开,CN202310226143.3,CN116301541A,2023-06-23,官睿、许昭宇、屠子恂、洪英明、赵玉航、肖袁圆,https://zhuanli.tianyancha.com/a42ebac9700c7bcd4beda58aa4ea246b
2023-02-28,语音交互方法及相关设备,发明专利,公开,CN202310224268.2,CN116229953A,2023-06-06,龙水平、许强、吴文昊、曾宇浩、李琛贺,https://zhuanli.tianyancha.com/ec92dc724caceffc82f515efc96890a6
2023-02-28,一种图像处理方法及其相关设备,发明专利,公开,CN202310230254.1,CN116343004A,2023-06-27,韩建华、徐航、姚乐炜、张维,https://zhuanli.tianyancha.com/337599a87670ff17026e6d04eb04c05e
2023-02-27,一种模型量化方法及其装置,发明专利,实质审查,CN202310220550.3,CN116151326A,2023-05-23,刘振华、韩凯、王云鹤,https://zhuanli.tianyancha.com/3b3a04e2ff6a10030a879b9423c1fee3
2023-02-24,一种修复方法、装置及存储介质,发明专利,公开,CN202310196583.9,CN116342408A,2023-06-27,郝磊、吴小飞、张镇嵩、许松岑、张子霄、朱凯强,https://zhuanli.tianyancha.com/e0862464549a4e2bc2c389e249fd373f
2023-05-04,一种基于5G网络的信息安全鉴权方法及系统,发明专利,实质审查,CN202310490011.1,CN116193432A,2023-05-30,黄红兵、邵炜平、李昂、章毅、汤亿则、邱兰馨、钱锦、王玮、王俊伟、王法辉、刘秀龙、饶子仁、荣宁、樊兆宾、沈秋泉、胡少清、杜猛俊、王源涛、王剑、张吉、张烨华,https://zhuanli.tianyancha.com/a5506c8544c609898c9b1a759a4a7cdd
2023-03-30,无线充电模组、设备及系统,发明专利,公开,CN202310371964.6,CN116345730A,2023-06-27,章哲、夏凡、张彬、张寒锋、亿一德,https://zhuanli.tianyancha.com/92dc383e025cc88693e7807a3a6bb389
2023-03-23,一种数据处理方法及其装置,发明专利,公开,CN202310332363.4,CN116309074A,2023-06-23,黄旭东、李卫、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/2956a535d4e1560873c4166f6791cf88
2023-03-20,安全气囊的控制系统和控制方法、交通工具,发明专利,公开,CN202310304829.X,CN116279275A,2023-06-23,陈少东、于龙、汪晓虎,https://zhuanli.tianyancha.com/70a1950de603d0bf77828043b9a71eea
2023-03-16,一种散热结构及电子设备,发明专利,公开,CN202310280857.2,CN116321969A,2023-06-23,骆洋、陈丘、刘用鹿、靳林芳,https://zhuanli.tianyancha.com/453a861ad2541061efed5703cafd0ee9
2023-03-15,一种图像处理方法及其相关设备,发明专利,公开,CN202310277464.6,CN116309226A,2023-06-23,汪海铃、李卫、席瑗苑、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/7f22ec87e2c14b6ea244d50cce88275c
2023-03-07,一种基于动态优化的物联网边缘设备协同接入方法,发明专利,实质审查,CN202310207123.1,CN116074939A,2023-05-05,朱洪波、孙建平、金石、赵海涛、张晖、周锋、王皓天、文慧智,https://zhuanli.tianyancha.com/510c96eba507b944ce924541f781f7f2
2023-03-07,一种物联网边缘环境下通感一体化智能传输与调控方法,发明专利,授权,CN202310207125.0,CN116073928B,2023-06-20,朱洪波、金石、孙建平、赵海涛、张晖、丁中正、黄传娜,https://zhuanli.tianyancha.com/2f6352c6e2a36484a5c44962a870add0
2023-02-28,一种语音处理方法及其相关设备,发明专利,公开,CN202310228312.7,CN116259311A,2023-06-13,邓利群、敖君逸、葛檬、李海洲、杨宇庭、陈晓,https://zhuanli.tianyancha.com/d6350f2618d6e6eddb0fdfc60fbf51f5
2023-02-28,一种图像处理方法及相关装置,发明专利,公开,CN202310233422.2,CN116258651A,2023-06-13,黄毅、刘健庄,https://zhuanli.tianyancha.com/542f1ebdd7be18c4ba21d6880d6ff917
2023-02-28,一种模型训练方法及其相关设备,发明专利,公开,CN202310224144.4,CN116306771A,2023-06-23,李银川、邵云峰、郝建业,https://zhuanli.tianyancha.com/a07d99f4eb1b1d58478c66f22283fab4
2023-02-28,一种数据处理方法及其装置,发明专利,公开,CN202310227307.4,CN116306672A,2023-06-23,郭寅鹏、肖猛、王雅圣,https://zhuanli.tianyancha.com/4211c0ec0b839e7e3b6b5f67a560d610
2023-02-28,一种车灯控制方法以及相关装置,发明专利,公开,CN202310217472.1,CN116279096A,2023-06-23,魏昊霖、王宗波,https://zhuanli.tianyancha.com/6aa72e28ab79c612eb22312290483330
2023-02-28,一种模型结构的确定方法及相关装置,发明专利,公开,CN202310228636.0,CN116306815A,2023-06-23,王亚岛、王雅圣、张震、刘知远,https://zhuanli.tianyancha.com/2c66304829e099d021c80d5d12b72a55
2023-02-28,图像重建方法、装置和计算机存储介质,发明专利,公开,CN202310225867.6,CN116309056A,2023-06-23,胡海林、罗小同、陈汉亭、严彬维、颜蔷羽、王云鹤,https://zhuanli.tianyancha.com/97e0ec781d53c2a05c1377080e4c89f5
2023-02-28,共享文件的方法、电子设备及计算机可读存储介质,发明专利,公开,CN202310226143.3,CN116301541A,2023-06-23,官睿、许昭宇、屠子恂、洪英明、赵玉航、肖袁圆,https://zhuanli.tianyancha.com/a42ebac9700c7bcd4beda58aa4ea246b
2023-02-28,语音交互方法及相关设备,发明专利,公开,CN202310224268.2,CN116229953A,2023-06-06,龙水平、许强、吴文昊、曾宇浩、李琛贺,https://zhuanli.tianyancha.com/ec92dc724caceffc82f515efc96890a6
2023-02-28,一种图像处理方法及其相关设备,发明专利,公开,CN202310230254.1,CN116343004A,2023-06-27,韩建华、徐航、姚乐炜、张维,https://zhuanli.tianyancha.com/337599a87670ff17026e6d04eb04c05e
2023-02-27,一种模型量化方法及其装置,发明专利,实质审查,CN202310220550.3,CN116151326A,2023-05-23,刘振华、韩凯、王云鹤,https://zhuanli.tianyancha.com/3b3a04e2ff6a10030a879b9423c1fee3
2023-02-24,一种修复方法、装置及存储介质,发明专利,公开,CN202310196583.9,CN116342408A,2023-06-27,郝磊、吴小飞、张镇嵩、许松岑、张子霄、朱凯强,https://zhuanli.tianyancha.com/e0862464549a4e2bc2c389e249fd373f
2023-05-04,一种基于5G网络的信息安全鉴权方法及系统,发明专利,实质审查,CN202310490011.1,CN116193432A,2023-05-30,黄红兵、邵炜平、李昂、章毅、汤亿则、邱兰馨、钱锦、王玮、王俊伟、王法辉、刘秀龙、饶子仁、荣宁、樊兆宾、沈秋泉、胡少清、杜猛俊、王源涛、王剑、张吉、张烨华,https://zhuanli.tianyancha.com/a5506c8544c609898c9b1a759a4a7cdd
2023-03-30,无线充电模组、设备及系统,发明专利,公开,CN202310371964.6,CN116345730A,2023-06-27,章哲、夏凡、张彬、张寒锋、亿一德,https://zhuanli.tianyancha.com/92dc383e025cc88693e7807a3a6bb389
2023-03-23,一种数据处理方法及其装置,发明专利,公开,CN202310332363.4,CN116309074A,2023-06-23,黄旭东、李卫、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/2956a535d4e1560873c4166f6791cf88
2023-03-20,安全气囊的控制系统和控制方法、交通工具,发明专利,公开,CN202310304829.X,CN116279275A,2023-06-23,陈少东、于龙、汪晓虎,https://zhuanli.tianyancha.com/70a1950de603d0bf77828043b9a71eea
2023-03-16,一种散热结构及电子设备,发明专利,公开,CN202310280857.2,CN116321969A,2023-06-23,骆洋、陈丘、刘用鹿、靳林芳,https://zhuanli.tianyancha.com/453a861ad2541061efed5703cafd0ee9
2023-03-15,一种图像处理方法及其相关设备,发明专利,公开,CN202310277464.6,CN116309226A,2023-06-23,汪海铃、李卫、席瑗苑、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/7f22ec87e2c14b6ea244d50cce88275c
2023-03-07,一种基于动态优化的物联网边缘设备协同接入方法,发明专利,实质审查,CN202310207123.1,CN116074939A,2023-05-05,朱洪波、孙建平、金石、赵海涛、张晖、周锋、王皓天、文慧智,https://zhuanli.tianyancha.com/510c96eba507b944ce924541f781f7f2
2023-03-07,一种物联网边缘环境下通感一体化智能传输与调控方法,发明专利,授权,CN202310207125.0,CN116073928B,2023-06-20,朱洪波、金石、孙建平、赵海涛、张晖、丁中正、黄传娜,https://zhuanli.tianyancha.com/2f6352c6e2a36484a5c44962a870add0
2023-02-28,一种语音处理方法及其相关设备,发明专利,公开,CN202310228312.7,CN116259311A,2023-06-13,邓利群、敖君逸、葛檬、李海洲、杨宇庭、陈晓,https://zhuanli.tianyancha.com/d6350f2618d6e6eddb0fdfc60fbf51f5
2023-02-28,一种图像处理方法及相关装置,发明专利,公开,CN202310233422.2,CN116258651A,2023-06-13,黄毅、刘健庄,https://zhuanli.tianyancha.com/542f1ebdd7be18c4ba21d6880d6ff917
2023-02-28,一种模型训练方法及其相关设备,发明专利,公开,CN202310224144.4,CN116306771A,2023-06-23,李银川、邵云峰、郝建业,https://zhuanli.tianyancha.com/a07d99f4eb1b1d58478c66f22283fab4
2023-02-28,一种数据处理方法及其装置,发明专利,公开,CN202310227307.4,CN116306672A,2023-06-23,郭寅鹏、肖猛、王雅圣,https://zhuanli.tianyancha.com/4211c0ec0b839e7e3b6b5f67a560d610
2023-02-28,一种车灯控制方法以及相关装置,发明专利,公开,CN202310217472.1,CN116279096A,2023-06-23,魏昊霖、王宗波,https://zhuanli.tianyancha.com/6aa72e28ab79c612eb22312290483330
2023-02-28,一种模型结构的确定方法及相关装置,发明专利,公开,CN202310228636.0,CN116306815A,2023-06-23,王亚岛、王雅圣、张震、刘知远,https://zhuanli.tianyancha.com/2c66304829e099d021c80d5d12b72a55
2023-02-28,图像重建方法、装置和计算机存储介质,发明专利,公开,CN202310225867.6,CN116309056A,2023-06-23,胡海林、罗小同、陈汉亭、严彬维、颜蔷羽、王云鹤,https://zhuanli.tianyancha.com/97e0ec781d53c2a05c1377080e4c89f5
2023-02-28,共享文件的方法、电子设备及计算机可读存储介质,发明专利,公开,CN202310226143.3,CN116301541A,2023-06-23,官睿、许昭宇、屠子恂、洪英明、赵玉航、肖袁圆,https://zhuanli.tianyancha.com/a42ebac9700c7bcd4beda58aa4ea246b
2023-02-28,语音交互方法及相关设备,发明专利,公开,CN202310224268.2,CN116229953A,2023-06-06,龙水平、许强、吴文昊、曾宇浩、李琛贺,https://zhuanli.tianyancha.com/ec92dc724caceffc82f515efc96890a6
2023-02-28,一种图像处理方法及其相关设备,发明专利,公开,CN202310230254.1,CN116343004A,2023-06-27,韩建华、徐航、姚乐炜、张维,https://zhuanli.tianyancha.com/337599a87670ff17026e6d04eb04c05e
2023-02-27,一种模型量化方法及其装置,发明专利,实质审查,CN202310220550.3,CN116151326A,2023-05-23,刘振华、韩凯、王云鹤,https://zhuanli.tianyancha.com/3b3a04e2ff6a10030a879b9423c1fee3
2023-02-24,一种修复方法、装置及存储介质,发明专利,公开,CN202310196583.9,CN116342408A,2023-06-27,郝磊、吴小飞、张镇嵩、许松岑、张子霄、朱凯强,https://zhuanli.tianyancha.com/e0862464549a4e2bc2c389e249fd373f
2023-05-04,一种基于5G网络的信息安全鉴权方法及系统,发明专利,实质审查,CN202310490011.1,CN116193432A,2023-05-30,黄红兵、邵炜平、李昂、章毅、汤亿则、邱兰馨、钱锦、王玮、王俊伟、王法辉、刘秀龙、饶子仁、荣宁、樊兆宾、沈秋泉、胡少清、杜猛俊、王源涛、王剑、张吉、张烨华,https://zhuanli.tianyancha.com/a5506c8544c609898c9b1a759a4a7cdd
2023-03-30,无线充电模组、设备及系统,发明专利,公开,CN202310371964.6,CN116345730A,2023-06-27,章哲、夏凡、张彬、张寒锋、亿一德,https://zhuanli.tianyancha.com/92dc383e025cc88693e7807a3a6bb389
2023-03-23,一种数据处理方法及其装置,发明专利,公开,CN202310332363.4,CN116309074A,2023-06-23,黄旭东、李卫、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/2956a535d4e1560873c4166f6791cf88
2023-03-20,安全气囊的控制系统和控制方法、交通工具,发明专利,公开,CN202310304829.X,CN116279275A,2023-06-23,陈少东、于龙、汪晓虎,https://zhuanli.tianyancha.com/70a1950de603d0bf77828043b9a71eea
2023-03-16,一种散热结构及电子设备,发明专利,公开,CN202310280857.2,CN116321969A,2023-06-23,骆洋、陈丘、刘用鹿、靳林芳,https://zhuanli.tianyancha.com/453a861ad2541061efed5703cafd0ee9
2023-03-15,一种图像处理方法及其相关设备,发明专利,公开,CN202310277464.6,CN116309226A,2023-06-23,汪海铃、李卫、席瑗苑、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/7f22ec87e2c14b6ea244d50cce88275c
2023-03-07,一种基于动态优化的物联网边缘设备协同接入方法,发明专利,实质审查,CN202310207123.1,CN116074939A,2023-05-05,朱洪波、孙建平、金石、赵海涛、张晖、周锋、王皓天、文慧智,https://zhuanli.tianyancha.com/510c96eba507b944ce924541f781f7f2
2023-03-07,一种物联网边缘环境下通感一体化智能传输与调控方法,发明专利,授权,CN202310207125.0,CN116073928B,2023-06-20,朱洪波、金石、孙建平、赵海涛、张晖、丁中正、黄传娜,https://zhuanli.tianyancha.com/2f6352c6e2a36484a5c44962a870add0
2023-02-28,一种语音处理方法及其相关设备,发明专利,公开,CN202310228312.7,CN116259311A,2023-06-13,邓利群、敖君逸、葛檬、李海洲、杨宇庭、陈晓,https://zhuanli.tianyancha.com/d6350f2618d6e6eddb0fdfc60fbf51f5
2023-02-28,一种图像处理方法及相关装置,发明专利,公开,CN202310233422.2,CN116258651A,2023-06-13,黄毅、刘健庄,https://zhuanli.tianyancha.com/542f1ebdd7be18c4ba21d6880d6ff917
2023-02-28,一种模型训练方法及其相关设备,发明专利,公开,CN202310224144.4,CN116306771A,2023-06-23,李银川、邵云峰、郝建业,https://zhuanli.tianyancha.com/a07d99f4eb1b1d58478c66f22283fab4
2023-02-28,一种数据处理方法及其装置,发明专利,公开,CN202310227307.4,CN116306672A,2023-06-23,郭寅鹏、肖猛、王雅圣,https://zhuanli.tianyancha.com/4211c0ec0b839e7e3b6b5f67a560d610
2023-02-28,一种车灯控制方法以及相关装置,发明专利,公开,CN202310217472.1,CN116279096A,2023-06-23,魏昊霖、王宗波,https://zhuanli.tianyancha.com/6aa72e28ab79c612eb22312290483330
2023-02-28,一种模型结构的确定方法及相关装置,发明专利,公开,CN202310228636.0,CN116306815A,2023-06-23,王亚岛、王雅圣、张震、刘知远,https://zhuanli.tianyancha.com/2c66304829e099d021c80d5d12b72a55
2023-02-28,图像重建方法、装置和计算机存储介质,发明专利,公开,CN202310225867.6,CN116309056A,2023-06-23,胡海林、罗小同、陈汉亭、严彬维、颜蔷羽、王云鹤,https://zhuanli.tianyancha.com/97e0ec781d53c2a05c1377080e4c89f5
2023-02-28,共享文件的方法、电子设备及计算机可读存储介质,发明专利,公开,CN202310226143.3,CN116301541A,2023-06-23,官睿、许昭宇、屠子恂、洪英明、赵玉航、肖袁圆,https://zhuanli.tianyancha.com/a42ebac9700c7bcd4beda58aa4ea246b
2023-02-28,语音交互方法及相关设备,发明专利,公开,CN202310224268.2,CN116229953A,2023-06-06,龙水平、许强、吴文昊、曾宇浩、李琛贺,https://zhuanli.tianyancha.com/ec92dc724caceffc82f515efc96890a6
2023-02-28,一种图像处理方法及其相关设备,发明专利,公开,CN202310230254.1,CN116343004A,2023-06-27,韩建华、徐航、姚乐炜、张维,https://zhuanli.tianyancha.com/337599a87670ff17026e6d04eb04c05e
2023-02-27,一种模型量化方法及其装置,发明专利,实质审查,CN202310220550.3,CN116151326A,2023-05-23,刘振华、韩凯、王云鹤,https://zhuanli.tianyancha.com/3b3a04e2ff6a10030a879b9423c1fee3
2023-02-24,一种修复方法、装置及存储介质,发明专利,公开,CN202310196583.9,CN116342408A,2023-06-27,郝磊、吴小飞、张镇嵩、许松岑、张子霄、朱凯强,https://zhuanli.tianyancha.com/e0862464549a4e2bc2c389e249fd373f
2023-05-04,一种基于5G网络的信息安全鉴权方法及系统,发明专利,实质审查,CN202310490011.1,CN116193432A,2023-05-30,黄红兵、邵炜平、李昂、章毅、汤亿则、邱兰馨、钱锦、王玮、王俊伟、王法辉、刘秀龙、饶子仁、荣宁、樊兆宾、沈秋泉、胡少清、杜猛俊、王源涛、王剑、张吉、张烨华,https://zhuanli.tianyancha.com/a5506c8544c609898c9b1a759a4a7cdd
2023-03-30,无线充电模组、设备及系统,发明专利,公开,CN202310371964.6,CN116345730A,2023-06-27,章哲、夏凡、张彬、张寒锋、亿一德,https://zhuanli.tianyancha.com/92dc383e025cc88693e7807a3a6bb389
2023-03-23,一种数据处理方法及其装置,发明专利,公开,CN202310332363.4,CN116309074A,2023-06-23,黄旭东、李卫、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/2956a535d4e1560873c4166f6791cf88
2023-03-20,安全气囊的控制系统和控制方法、交通工具,发明专利,公开,CN202310304829.X,CN116279275A,2023-06-23,陈少东、于龙、汪晓虎,https://zhuanli.tianyancha.com/70a1950de603d0bf77828043b9a71eea
2023-03-16,一种散热结构及电子设备,发明专利,公开,CN202310280857.2,CN116321969A,2023-06-23,骆洋、陈丘、刘用鹿、靳林芳,https://zhuanli.tianyancha.com/453a861ad2541061efed5703cafd0ee9
2023-03-15,一种图像处理方法及其相关设备,发明专利,公开,CN202310277464.6,CN116309226A,2023-06-23,汪海铃、李卫、席瑗苑、胡杰、陈汉亭、王云鹤,https://zhuanli.tianyancha.com/7f22ec87e2c14b6ea244d50cce88275c
2023-03-07,一种基于动态优化的物联网边缘设备协同接入方法,发明专利,实质审查,CN202310207123.1,CN116074939A,2023-05-05,朱洪波、孙建平、金石、赵海涛、张晖、周锋、王皓天、文慧智,https://zhuanli.tianyancha.com/510c96eba507b944ce924541f781f7f2
2023-03-07,一种物联网边缘环境下通感一体化智能传输与调控方法,发明专利,授权,CN202310207125.0,CN116073928B,2023-06-20,朱洪波、金石、孙建平、赵海涛、张晖、丁中正、黄传娜,https://zhuanli.tianyancha.com/2f6352c6e2a36484a5c44962a870add0
2023-02-28,一种语音处理方法及其相关设备,发明专利,公开,CN202310228312.7,CN116259311A,2023-06-13,邓利群、敖君逸、葛檬、李海洲、杨宇庭、陈晓,https://zhuanli.tianyancha.com/d6350f2618d6e6eddb0fdfc60fbf51f5
2023-02-28,一种图像处理方法及相关装置,发明专利,公开,CN202310233422.2,CN116258651A,2023-06-13,黄毅、刘健庄,https://zhuanli.tianyancha.com/542f1ebdd7be18c4ba21d6880d6ff917
2023-02-28,一种模型训练方法及其相关设备,发明专利,公开,CN202310224144.4,CN116306771A,2023-06-23,李银川、邵云峰、郝建业,https://zhuanli.tianyancha.com/a07d99f4eb1b1d58478c66f22283fab4
2023-02-28,一种数据处理方法及其装置,发明专利,公开,CN202310227307.4,CN116306672A,2023-06-23,郭寅鹏、肖猛、王雅圣,https://zhuanli.tianyancha.com/4211c0ec0b839e7e3b6b5f67a560d610
2023-02-28,一种车灯控制方法以及相关装置,发明专利,公开,CN202310217472.1,CN116279096A,2023-06-23,魏昊霖、王宗波,https://zhuanli.tianyancha.com/6aa72e28ab79c612eb22312290483330
2023-02-28,一种模型结构的确定方法及相关装置,发明专利,公开,CN202310228636.0,CN116306815A,2023-06-23,王亚岛、王雅圣、张震、刘知远,https://zhuanli.tianyancha.com/2c66304829e099d021c80d5d12b72a55
2023-02-28,图像重建方法、装置和计算机存储介质,发明专利,公开,CN202310225867.6,CN116309056A,2023-06-23,胡海林、罗小同、陈汉亭、严彬维、颜蔷羽、王云鹤,https://zhuanli.tianyancha.com/97e0ec781d53c2a05c1377080e4c89f5
2023-02-28,共享文件的方法、电子设备及计算机可读存储介质,发明专利,公开,CN202310226143.3,CN116301541A,2023-06-23,官睿、许昭宇、屠子恂、洪英明、赵玉航、肖袁圆,https://zhuanli.tianyancha.com/a42ebac9700c7bcd4beda58aa4ea246b
2023-02-28,语音交互方法及相关设备,发明专利,公开,CN202310224268.2,CN116229953A,2023-06-06,龙水平、许强、吴文昊、曾宇浩、李琛贺,https://zhuanli.tianyancha.com/ec92dc724caceffc82f515efc96890a6
2023-02-28,一种图像处理方法及其相关设备,发明专利,公开,CN202310230254.1,CN116343004A,2023-06-27,韩建华、徐航、姚乐炜、张维,https://zhuanli.tianyancha.com/337599a87670ff17026e6d04eb04c05e
2023-02-27,一种模型量化方法及其装置,发明专利,实质审查,CN202310220550.3,CN116151326A,2023-05-23,刘振华、韩凯、王云鹤,https://zhuanli.tianyancha.com/3b3a04e2ff6a10030a879b9423c1fee3
2023-02-24,一种修复方法、装置及存储介质,发明专利,公开,CN202310196583.9,CN116342408A,2023-06-27,郝磊、吴小飞、张镇嵩、许松岑、张子霄、朱凯强,https://zhuanli.tianyancha.com/e0862464549a4e2bc2c389e249fd373f
